kategori,nama_wisata,latitude,longitude,alamat,provinsi,kota_kabupaten
mall,23 Paskal Shopping Center,-6.915388,107.5943024,"23 Paskal Shopping Center, 25-27, Jalan Kebon Jati, Ciroyom, Andir, Kota Bandung, Jawa Barat, Jawa, 40181, Indonesia",Jawa Barat,Kota Bandung
mall,AEON Mall BSD,-6.3044091,106.6441572,"ÆON Mall, Jalan BSD Raya Utama, BSD City, Pagedangan, Kabupaten Tangerang, Banten, Jawa, 15345, Indonesia",Banten,Kabupaten Tangerang
air terjun,Air Terjun Bantimurung,-5.0165199,119.6855203,"Air Terjun Bantimurung, Jalan Poros Bantimurung, Maros, Jenetaesa, Sulawesi Selatan, Sulawesi, Indonesia",Sulawesi Selatan,Sulawesi
air terjun,Air Terjun Benang Kelambu,-8.5327696,116.3370113,"Air Terjun Benang Kelambu, Pemotoh, Lombok Tengah, Nusa Tenggara Barat, Nusa Tenggara, Indonesia",Nusa Tenggara Barat,Lombok Tengah
air terjun,Air Terjun Benang Stokel,-8.5330355,116.3413791,"Air Terjun Benang Stokel, Pemotoh, Lombok Tengah, Nusa Tenggara Barat, Nusa Tenggara, Indonesia",Nusa Tenggara Barat,Lombok Tengah
air terjun,Air Terjun Bidadari,-2.9283607,107.8390425,"Air Terjun Bidadari, Nyuruk, Belitung Timur, Kepulauan Bangka Belitung, Sumatera, Indonesia",Kepulauan Bangka Belitung,Belitung Timur
air terjun,Air Terjun Coban Talun,-7.8020389,112.5170485,"Air Terjun Coban Talun, Kota Batu, Jawa Timur, Jawa, 65336, Indonesia",Jawa Timur,Kota Batu
air terjun,Air Terjun Curug Dengdeng,-7.641818,108.324676,"AIR TERJUN CURUG DENGDENG, Jalan Cikaret Babakan, RW 08, Mekarsari, Tasikmalaya, Jawa Barat, Jawa, Indonesia",Jawa Barat,Tasikmalaya
air terjun,Air Terjun Dolo,-7.8706373,111.8354398,"Air Terjun Dolo, Mojo, Kabupaten Kediri, Jawa Timur, Jawa, Indonesia",Jawa Timur,Kabupaten Kediri
air terjun,Air Terjun Jumog,-7.6312129,111.1269212,"Air Terjun Jumog, Jalur Pendakian Gunung Lawu via Tambak, Berjo, Karanganyar, Jawa Tengah, Jawa, Indonesia",Jawa Tengah,Karanganyar
air terjun,Air Terjun Kedung Kayang,-7.5003922,110.3933888,"Air terjun kedung kayang, Jalan Raya Boyolali-Magelang, Wonodadi, Wonolelo, Sawangan, Magelang, Jawa Tengah, Jawa, 56481, Indonesia",Jawa Tengah,Magelang
air terjun,Air Terjun Mangku Sakti,-8.3180093,116.4686796,"Air Terjun Mangku Sakti, Sambik Eelen - Batu Santek, Sambikelen, Lombok Utara, Nusa Tenggara Barat, Nusa Tenggara, Indonesia",Nusa Tenggara Barat,Lombok Utara
air terjun,Air Terjun Matayangu,-9.6732857,119.5046953,"Air Terjun Matayangu, Sumba Tengah, Nusa Tenggara Timur, Nusa Tenggara, Indonesia",Nusa Tenggara Timur,Sumba Tengah
air terjun,Air Terjun Sendang Gile,-8.3055561,116.4082776,"Air terjun Sendang Gile, Dusun Pawang Karya, Senaru, Lombok Utara, Nusa Tenggara Barat, Nusa Tenggara, Indonesia",Nusa Tenggara Barat,Lombok Utara
air terjun,Air Terjun Sri Gethuk,-7.9432134,110.4895782,"Air Terjun Sri Gethuk, 052, Jatimulyo, Dlingo, Bantul, Daerah Istimewa Yogyakarta, Jawa, 55783, Indonesia",Daerah Istimewa Yogyakarta,Bantul
air terjun,Air Terjun Waimarang,-9.9687141,120.6028048,"Air Terjun Waimarang, Desa Tamburi, Kecamatan Rindi, Sumba Timur, Nusa Tenggara Timur, Nusa Tenggara, Indonesia",Nusa Tenggara Timur,Sumba Timur
alun-alun,Alun-Alun Surabaya,-7.2500402,112.737988,"Alon-Alon Contong, Bubutan, Surabaya, Jawa Timur, Jawa, Indonesia",Jawa Timur,Surabaya
alun-alun,Alun-Alun Demak,-6.894814,110.638526,"Alun - Alun Demak, Kauman, Demak, Jawa Tengah, Jawa, Indonesia",Jawa Tengah,Demak
alun-alun,Alun-Alun Jember,-8.1689005,113.7021649,"Alun alun Jember, Sumber Lor, Jember, Jawa Timur, Jawa, Indonesia",Jawa Timur,Jember
alun-alun,Alun-Alun Cirebon,-6.7219026,108.567909,"Alun Alun Keraton Kanoman, Lemahwungkuk, Kota Cirebon, Jawa Barat, Jawa, Indonesia",Jawa Barat,Kota Cirebon
alun-alun,Alun-Alun Kidul Yogyakarta,-7.811844,110.3632217,"Alun Alun Kidul, Patehan, Kraton, Kota Yogyakarta, Daerah Istimewa Yogyakarta, Jawa, 55133, Indonesia",Daerah Istimewa Yogyakarta,Kota Yogyakarta
