kategori,nama_wisata,latitude,longitude,alamat,provinsi,kota_kabupaten
air terjun,Air Terjun Aling-Aling,-8.1767917,115.1062843,"Air Terjun Aling-Aling, Panji Anom, Buleleng, Bali, Nusa Tenggara, 81161, Indonesia",Bali,Buleleng
air terjun,Air Terjun Bantimurung,-5.0165199,119.6855203,"Air Terjun Bantimurung, Jalan Poros Bantimurung, Maros, Jenetaesa, Sulawesi Selatan, Sulawesi, Indonesia",Sulawesi Selatan,Sulawesi
air terjun,Air Terjun Benang Kelambu,-8.5327696,116.3370113,"Air Terjun Benang Kelambu, Pemotoh, Lombok Tengah, Nusa Tenggara Barat, Nusa Tenggara, Indonesia",Nusa Tenggara Barat,Lombok Tengah
air terjun,Air Terjun Benang Stokel,-8.5330355,116.3413791,"Air Terjun Benang Stokel, Pemotoh, Lombok Tengah, Nusa Tenggara Barat, Nusa Tenggara, Indonesia",Nusa Tenggara Barat,Lombok Tengah
air terjun,Air Terjun Bidadari,-2.9283607,107.8390425,"Air Terjun Bidadari, Nyuruk, Belitung Timur, Kepulauan Bangka Belitung, Sumatera, Indonesia",Kepulauan Bangka Belitung,Belitung Timur
air terjun,Air Terjun Coban Rondo,-7.8847333,112.4769702,"Coban Rondo, Kabupaten Malang, Jawa Timur, Jawa, 65912, Indonesia",Jawa Timur,Kabupaten Malang
air terjun,Air Terjun Coban Talun,-7.8020389,112.5170485,"Air Terjun Coban Talun, Kota Batu, Jawa Timur, Jawa, 65336, Indonesia",Jawa Timur,Kota Batu
air terjun,Air Terjun Curug Dengdeng,-7.641818,108.324676,"AIR TERJUN CURUG DENGDENG, Jalan Cikaret Babakan, RW 08, Mekarsari, Tasikmalaya, Jawa Barat, Jawa, Indonesia",Jawa Barat,Tasikmalaya
air terjun,Air Terjun Dolo,-7.8706373,111.8354398,"Air Terjun Dolo, Mojo, Kabupaten Kediri, Jawa Timur, Jawa, Indonesia",Jawa Timur,Kabupaten Kediri
air terjun,Air Terjun Jumog,-7.6312129,111.1269212,"Air Terjun Jumog, Jalur Pendakian Gunung Lawu via Tambak, Berjo, Karanganyar, Jawa Tengah, Jawa, Indonesia",Jawa Tengah,Karanganyar
air terjun,Air Terjun Kanto Lampo,-8.5323414,115.3329825,"Kanto Lampo, Beng, Gianyar, Bali, Nusa Tenggara, 80512, Indonesia",Bali,Gianyar
air terjun,Air Terjun Kedung Kayang,-7.5003922,110.3933888,"Air terjun kedung kayang, Jalan Raya Boyolali-Magelang, Wonodadi, Wonolelo, Sawangan, Magelang, Jawa Tengah, Jawa, 56481, Indonesia",Jawa Tengah,Magelang
air terjun,Air Terjun Mangku Sakti,-8.3180093,116.4686796,"Air Terjun Mangku Sakti, Sambik Eelen - Batu Santek, Sambikelen, Lombok Utara, Nusa Tenggara Barat, Nusa Tenggara, Indonesia",Nusa Tenggara Barat,Lombok Utara
air terjun,Air Terjun Matayangu,-9.6732857,119.5046953,"Air Terjun Matayangu, Sumba Tengah, Nusa Tenggara Timur, Nusa Tenggara, Indonesia",Nusa Tenggara Timur,Sumba Tengah
air terjun,Air Terjun Moramo,-4.221149,122.7452422,"Moramo - air terjun, Konawe Selatan, Sulawesi Tenggara, Sulawesi, Indonesia",Sulawesi Tenggara,Konawe Selatan
air terjun,Air Terjun Sambangan,-8.1443829,115.100412,"Air Terjun Tembok Barak, Sambangan, Buleleng, Bali, Nusa Tenggara, 81118, Indonesia",Bali,Buleleng
air terjun,Air Terjun Sendang Gile,-8.3055561,116.4082776,"Air terjun Sendang Gile, Dusun Pawang Karya, Senaru, Lombok Utara, Nusa Tenggara Barat, Nusa Tenggara, Indonesia",Nusa Tenggara Barat,Lombok Utara
air terjun,Air Terjun Sri Gethuk,-7.9432134,110.4895782,"Air Terjun Sri Gethuk, 052, Jatimulyo, Dlingo, Bantul, Daerah Istimewa Yogyakarta, Jawa, 55783, Indonesia",Daerah Istimewa Yogyakarta,Bantul
air terjun,Air Terjun Tegenungan,-8.5752294,115.2907014,"Tegenungan Blangsinga, Sukawati, Gianyar, Bali, Nusa Tenggara, 80582, Indonesia",Bali,Gianyar
air terjun,Air Terjun Tukad Cepung,-8.4423213,115.3879035,"Air Terjun Tukad Cepung, Undisan, Bangli, Bali, Nusa Tenggara, 80613, Indonesia",Bali,Bangli
air terjun,Air Terjun Tumpak Sewu,-8.2389311,112.9214262,"Kawasan Air Terjun Tumpak Sewu, Jagalan, Sidorenggo, Kabupaten Malang, Jawa Timur, Jawa, 67374, Indonesia",Jawa Timur,Kabupaten Malang
air terjun,Air Terjun Waimarang,-9.9687141,120.6028048,"Air Terjun Waimarang, Desa Tamburi, Kecamatan Rindi, Sumba Timur, Nusa Tenggara Timur, Nusa Tenggara, Indonesia",Nusa Tenggara Timur,Sumba Timur
alun-alun,Alun-Alun Bandung,-6.9216776,107.607151,"Alun-Alun Bandung, Balonggede, Regol, Kota Bandung, Jawa Barat, Jawa, Indonesia",Jawa Barat,Kota Bandung
